start,phase1_pass,phase2_pass,funded,reason
2017-02-01 00:00:00+00:00,True,True,True,target
2017-03-01 00:00:00+00:00,False,False,False,no_target
2017-04-01 00:00:00+00:00,False,False,False,total_dd
2017-05-01 00:00:00+00:00,False,False,False,no_target
2017-06-01 00:00:00+00:00,False,False,False,no_target
2017-07-01 00:00:00+00:00,True,True,True,target
2017-08-01 00:00:00+00:00,False,False,False,no_target
2017-09-01 00:00:00+00:00,False,False,False,no_target
2017-10-01 00:00:00+00:00,False,False,False,no_target
2017-11-01 00:00:00+00:00,False,False,False,no_target
2017-12-01 00:00:00+00:00,False,False,False,no_target
2018-01-01 00:00:00+00:00,True,True,True,target
2018-02-01 00:00:00+00:00,True,False,False,no_target
2018-03-01 00:00:00+00:00,False,False,False,no_target
2018-04-01 00:00:00+00:00,False,False,False,no_target
2018-05-01 00:00:00+00:00,False,False,False,no_target
2018-06-01 00:00:00+00:00,False,False,False,no_target
2018-07-01 00:00:00+00:00,False,False,False,daily_loss
2018-08-01 00:00:00+00:00,False,False,False,daily_loss
2018-09-01 00:00:00+00:00,False,False,False,no_target
2018-10-01 00:00:00+00:00,False,False,False,no_target
2018-11-01 00:00:00+00:00,False,False,False,no_target
2018-12-01 00:00:00+00:00,False,False,False,no_target
2019-01-01 00:00:00+00:00,True,True,True,target
2019-02-01 00:00:00+00:00,False,False,False,no_target
2019-03-01 00:00:00+00:00,True,True,True,target
2019-04-01 00:00:00+00:00,True,True,True,target
2019-05-01 00:00:00+00:00,True,True,True,target
2019-06-01 00:00:00+00:00,True,False,False,no_target
2019-07-01 00:00:00+00:00,False,False,False,no_target
2019-08-01 00:00:00+00:00,False,False,False,no_target
2019-09-01 00:00:00+00:00,False,False,False,no_target
2019-10-01 00:00:00+00:00,True,True,True,target
2019-11-01 00:00:00+00:00,True,True,True,target
2019-12-01 00:00:00+00:00,False,False,False,no_target
2020-01-01 00:00:00+00:00,False,False,False,no_target
2020-02-01 00:00:00+00:00,True,True,True,target
2020-03-01 00:00:00+00:00,True,True,True,target
2020-04-01 00:00:00+00:00,True,True,True,target
2020-05-01 00:00:00+00:00,True,True,True,target
2020-06-01 00:00:00+00:00,True,False,False,no_target
2020-07-01 00:00:00+00:00,True,True,True,target
2020-08-01 00:00:00+00:00,True,True,True,target
2020-09-01 00:00:00+00:00,True,False,False,no_target
2020-10-01 00:00:00+00:00,False,False,False,no_target
2020-11-01 00:00:00+00:00,False,False,False,no_target
2020-12-01 00:00:00+00:00,False,False,False,no_target
2021-01-01 00:00:00+00:00,False,False,False,no_target
2021-02-01 00:00:00+00:00,False,False,False,no_target
2021-03-01 00:00:00+00:00,False,False,False,no_target
2021-04-01 00:00:00+00:00,False,False,False,daily_loss
2021-05-01 00:00:00+00:00,False,False,False,daily_loss
2021-06-01 00:00:00+00:00,False,False,False,no_target
2021-07-01 00:00:00+00:00,True,True,True,target
